EVALUATION RESULTS
==================================================
Average Representation Loss: 79.1569
Average VAE Loss: 55.6031
Average Total Loss: 134.7600
Average Perplexity: 1.13
Average Codebook Usage: 0.39%
Total Proteins Evaluated: 4679
==================================================

DETAILED RESULTS BY BATCH:
Batch 0: Loss=136.6045, Perplexity=1.06, Codebook Usage=0.39%
Batch 1: Loss=140.9660, Perplexity=1.34, Codebook Usage=0.39%
Batch 2: Loss=148.0152, Perplexity=1.05, Codebook Usage=0.39%
Batch 3: Loss=116.7625, Perplexity=1.01, Codebook Usage=0.39%
Batch 4: Loss=123.5824, Perplexity=1.12, Codebook Usage=0.39%
Batch 5: Loss=130.9160, Perplexity=1.09, Codebook Usage=0.39%
Batch 6: Loss=120.8066, Perplexity=1.28, Codebook Usage=0.39%
Batch 7: Loss=130.1259, Perplexity=1.17, Codebook Usage=0.39%
Batch 8: Loss=119.0067, Perplexity=1.14, Codebook Usage=0.39%
Batch 9: Loss=151.8726, Perplexity=1.16, Codebook Usage=0.39%
Batch 10: Loss=117.4928, Perplexity=1.10, Codebook Usage=0.39%
Batch 11: Loss=156.0456, Perplexity=1.17, Codebook Usage=0.39%
Batch 12: Loss=108.9737, Perplexity=1.17, Codebook Usage=0.39%
Batch 13: Loss=146.2271, Perplexity=1.05, Codebook Usage=0.39%
Batch 14: Loss=139.8557, Perplexity=1.20, Codebook Usage=0.39%
Batch 15: Loss=138.0627, Perplexity=1.09, Codebook Usage=0.39%
Batch 16: Loss=156.1684, Perplexity=1.10, Codebook Usage=0.39%
Batch 17: Loss=152.5130, Perplexity=1.04, Codebook Usage=0.39%
Batch 18: Loss=126.9965, Perplexity=1.04, Codebook Usage=0.39%
Batch 19: Loss=126.3407, Perplexity=1.05, Codebook Usage=0.39%
Batch 20: Loss=132.3832, Perplexity=1.17, Codebook Usage=0.39%
Batch 21: Loss=124.6495, Perplexity=1.09, Codebook Usage=0.39%
Batch 22: Loss=151.2277, Perplexity=1.07, Codebook Usage=0.39%
Batch 23: Loss=124.4253, Perplexity=1.35, Codebook Usage=0.39%
Batch 24: Loss=138.9014, Perplexity=1.07, Codebook Usage=0.39%
Batch 25: Loss=134.8243, Perplexity=1.07, Codebook Usage=0.39%
Batch 26: Loss=163.7740, Perplexity=1.16, Codebook Usage=0.39%
Batch 27: Loss=146.7208, Perplexity=1.16, Codebook Usage=0.39%
Batch 28: Loss=140.3056, Perplexity=1.11, Codebook Usage=0.39%
Batch 29: Loss=135.6781, Perplexity=1.21, Codebook Usage=0.39%
Batch 30: Loss=122.3427, Perplexity=1.02, Codebook Usage=0.39%
Batch 31: Loss=135.0513, Perplexity=1.29, Codebook Usage=0.39%
Batch 32: Loss=141.2683, Perplexity=1.25, Codebook Usage=0.39%
Batch 33: Loss=136.5656, Perplexity=1.13, Codebook Usage=0.39%
Batch 34: Loss=139.9975, Perplexity=1.04, Codebook Usage=0.39%
Batch 35: Loss=140.4164, Perplexity=1.02, Codebook Usage=0.39%
Batch 36: Loss=135.2829, Perplexity=1.09, Codebook Usage=0.39%
Batch 37: Loss=117.7668, Perplexity=1.08, Codebook Usage=0.39%
Batch 38: Loss=132.4051, Perplexity=1.04, Codebook Usage=0.39%
Batch 39: Loss=114.1109, Perplexity=1.03, Codebook Usage=0.39%
Batch 40: Loss=122.0287, Perplexity=1.18, Codebook Usage=0.39%
Batch 41: Loss=120.3884, Perplexity=1.08, Codebook Usage=0.39%
Batch 42: Loss=159.6797, Perplexity=1.38, Codebook Usage=0.39%
Batch 43: Loss=141.9966, Perplexity=1.13, Codebook Usage=0.39%
Batch 44: Loss=133.5829, Perplexity=1.08, Codebook Usage=0.39%
Batch 45: Loss=144.9026, Perplexity=1.16, Codebook Usage=0.39%
Batch 46: Loss=122.9454, Perplexity=1.06, Codebook Usage=0.39%
Batch 47: Loss=148.5022, Perplexity=1.03, Codebook Usage=0.39%
Batch 48: Loss=142.5499, Perplexity=1.00, Codebook Usage=0.20%
Batch 49: Loss=139.3585, Perplexity=1.20, Codebook Usage=0.39%
Batch 50: Loss=124.6093, Perplexity=1.20, Codebook Usage=0.39%
Batch 51: Loss=154.6716, Perplexity=1.18, Codebook Usage=0.39%
Batch 52: Loss=149.7098, Perplexity=1.05, Codebook Usage=0.39%
Batch 53: Loss=139.2772, Perplexity=1.12, Codebook Usage=0.39%
Batch 54: Loss=154.5461, Perplexity=1.05, Codebook Usage=0.39%
Batch 55: Loss=119.4095, Perplexity=1.05, Codebook Usage=0.39%
Batch 56: Loss=119.6582, Perplexity=1.06, Codebook Usage=0.39%
Batch 57: Loss=150.3973, Perplexity=1.10, Codebook Usage=0.39%
Batch 58: Loss=114.8952, Perplexity=1.10, Codebook Usage=0.39%
Batch 59: Loss=143.8987, Perplexity=1.19, Codebook Usage=0.39%
Batch 60: Loss=114.7031, Perplexity=1.05, Codebook Usage=0.39%
Batch 61: Loss=153.7570, Perplexity=1.02, Codebook Usage=0.39%
Batch 62: Loss=125.0993, Perplexity=1.04, Codebook Usage=0.39%
Batch 63: Loss=134.3422, Perplexity=1.12, Codebook Usage=0.39%
Batch 64: Loss=130.5175, Perplexity=1.22, Codebook Usage=0.39%
Batch 65: Loss=117.8912, Perplexity=1.03, Codebook Usage=0.39%
Batch 66: Loss=128.7061, Perplexity=1.12, Codebook Usage=0.39%
Batch 67: Loss=121.8938, Perplexity=1.11, Codebook Usage=0.39%
Batch 68: Loss=124.9029, Perplexity=1.32, Codebook Usage=0.39%
Batch 69: Loss=137.4463, Perplexity=1.11, Codebook Usage=0.39%
Batch 70: Loss=129.2141, Perplexity=1.15, Codebook Usage=0.39%
Batch 71: Loss=152.1311, Perplexity=1.10, Codebook Usage=0.39%
Batch 72: Loss=156.8680, Perplexity=1.18, Codebook Usage=0.39%
Batch 73: Loss=140.5677, Perplexity=1.13, Codebook Usage=0.39%
Batch 74: Loss=132.1462, Perplexity=1.11, Codebook Usage=0.39%
Batch 75: Loss=122.3853, Perplexity=1.25, Codebook Usage=0.39%
Batch 76: Loss=137.3852, Perplexity=1.03, Codebook Usage=0.39%
Batch 77: Loss=144.1210, Perplexity=1.17, Codebook Usage=0.39%
Batch 78: Loss=131.6132, Perplexity=1.10, Codebook Usage=0.39%
Batch 79: Loss=137.0374, Perplexity=1.34, Codebook Usage=0.39%
Batch 80: Loss=119.5266, Perplexity=1.09, Codebook Usage=0.39%
Batch 81: Loss=155.1705, Perplexity=1.06, Codebook Usage=0.39%
Batch 82: Loss=146.0902, Perplexity=1.11, Codebook Usage=0.39%
Batch 83: Loss=125.7433, Perplexity=1.01, Codebook Usage=0.39%
Batch 84: Loss=131.1267, Perplexity=1.03, Codebook Usage=0.39%
Batch 85: Loss=156.2019, Perplexity=1.04, Codebook Usage=0.39%
Batch 86: Loss=141.7368, Perplexity=1.07, Codebook Usage=0.39%
Batch 87: Loss=140.1530, Perplexity=1.04, Codebook Usage=0.39%
Batch 88: Loss=123.9931, Perplexity=1.08, Codebook Usage=0.39%
Batch 89: Loss=147.8713, Perplexity=1.22, Codebook Usage=0.39%
Batch 90: Loss=122.9028, Perplexity=1.04, Codebook Usage=0.39%
Batch 91: Loss=127.7826, Perplexity=1.01, Codebook Usage=0.39%
Batch 92: Loss=132.8367, Perplexity=1.05, Codebook Usage=0.39%
Batch 93: Loss=156.6425, Perplexity=1.18, Codebook Usage=0.39%
