EVALUATION RESULTS
==================================================
Average Representation Loss: 56.1710
Average VAE Loss: 40.9906
Average Total Loss: 97.1616
Average Perplexity: 1.88
Average Codebook Usage: 0.00%
Total Proteins Evaluated: 4679
==================================================

DETAILED RESULTS BY BATCH:
Batch 0: Loss=84.5672, Perplexity=1.68, Codebook Usage=0.00%
Batch 1: Loss=124.4587, Perplexity=2.39, Codebook Usage=0.00%
Batch 2: Loss=70.6312, Perplexity=1.65, Codebook Usage=0.00%
Batch 3: Loss=72.3508, Perplexity=1.42, Codebook Usage=0.00%
Batch 4: Loss=109.3916, Perplexity=1.80, Codebook Usage=0.00%
Batch 5: Loss=107.0944, Perplexity=1.77, Codebook Usage=0.00%
Batch 6: Loss=103.9432, Perplexity=2.00, Codebook Usage=0.00%
Batch 7: Loss=103.3933, Perplexity=1.92, Codebook Usage=0.00%
Batch 8: Loss=107.3836, Perplexity=1.85, Codebook Usage=0.00%
Batch 9: Loss=126.2376, Perplexity=2.48, Codebook Usage=0.00%
Batch 10: Loss=87.8331, Perplexity=1.80, Codebook Usage=0.00%
Batch 11: Loss=103.8410, Perplexity=2.01, Codebook Usage=0.00%
Batch 12: Loss=80.5062, Perplexity=1.74, Codebook Usage=0.00%
Batch 13: Loss=99.0412, Perplexity=2.02, Codebook Usage=0.00%
Batch 14: Loss=113.7307, Perplexity=2.25, Codebook Usage=0.00%
Batch 15: Loss=97.5104, Perplexity=1.74, Codebook Usage=0.00%
Batch 16: Loss=70.2297, Perplexity=1.82, Codebook Usage=0.00%
Batch 17: Loss=76.8183, Perplexity=1.41, Codebook Usage=0.00%
Batch 18: Loss=88.5783, Perplexity=1.52, Codebook Usage=0.00%
Batch 19: Loss=91.8029, Perplexity=1.74, Codebook Usage=0.00%
Batch 20: Loss=104.9550, Perplexity=2.19, Codebook Usage=0.00%
Batch 21: Loss=104.8589, Perplexity=1.79, Codebook Usage=0.00%
Batch 22: Loss=98.6553, Perplexity=1.97, Codebook Usage=0.00%
Batch 23: Loss=96.2165, Perplexity=1.84, Codebook Usage=0.00%
Batch 24: Loss=106.2484, Perplexity=1.85, Codebook Usage=0.00%
Batch 25: Loss=109.1617, Perplexity=1.86, Codebook Usage=0.00%
Batch 26: Loss=96.8269, Perplexity=1.88, Codebook Usage=0.00%
Batch 27: Loss=111.1522, Perplexity=2.16, Codebook Usage=0.00%
Batch 28: Loss=102.1708, Perplexity=2.06, Codebook Usage=0.00%
Batch 29: Loss=105.1095, Perplexity=2.05, Codebook Usage=0.00%
Batch 30: Loss=89.4436, Perplexity=1.44, Codebook Usage=0.00%
Batch 31: Loss=103.5033, Perplexity=1.96, Codebook Usage=0.00%
Batch 32: Loss=118.0505, Perplexity=2.30, Codebook Usage=0.00%
Batch 33: Loss=95.0100, Perplexity=2.01, Codebook Usage=0.00%
Batch 34: Loss=100.6622, Perplexity=1.91, Codebook Usage=0.00%
Batch 35: Loss=91.5973, Perplexity=1.20, Codebook Usage=0.00%
Batch 36: Loss=105.7769, Perplexity=1.68, Codebook Usage=0.00%
Batch 37: Loss=78.8984, Perplexity=1.53, Codebook Usage=0.00%
Batch 38: Loss=92.2820, Perplexity=1.97, Codebook Usage=0.00%
Batch 39: Loss=88.6461, Perplexity=1.58, Codebook Usage=0.00%
Batch 40: Loss=102.1636, Perplexity=2.00, Codebook Usage=0.00%
Batch 41: Loss=98.8579, Perplexity=1.70, Codebook Usage=0.00%
Batch 42: Loss=125.7730, Perplexity=2.42, Codebook Usage=0.00%
Batch 43: Loss=115.9468, Perplexity=2.09, Codebook Usage=0.00%
Batch 44: Loss=102.2844, Perplexity=2.16, Codebook Usage=0.00%
Batch 45: Loss=104.6536, Perplexity=2.15, Codebook Usage=0.00%
Batch 46: Loss=72.9165, Perplexity=1.51, Codebook Usage=0.00%
Batch 47: Loss=107.1270, Perplexity=1.77, Codebook Usage=0.00%
Batch 48: Loss=84.7181, Perplexity=1.15, Codebook Usage=0.00%
Batch 49: Loss=94.1285, Perplexity=1.88, Codebook Usage=0.00%
Batch 50: Loss=87.9619, Perplexity=2.03, Codebook Usage=0.00%
Batch 51: Loss=129.5704, Perplexity=2.29, Codebook Usage=0.00%
Batch 52: Loss=83.2253, Perplexity=1.99, Codebook Usage=0.00%
Batch 53: Loss=120.8054, Perplexity=2.12, Codebook Usage=0.00%
Batch 54: Loss=78.8244, Perplexity=2.12, Codebook Usage=0.00%
Batch 55: Loss=76.5185, Perplexity=1.80, Codebook Usage=0.00%
Batch 56: Loss=90.5334, Perplexity=1.43, Codebook Usage=0.00%
Batch 57: Loss=98.8205, Perplexity=2.02, Codebook Usage=0.00%
Batch 58: Loss=92.1147, Perplexity=1.78, Codebook Usage=0.00%
Batch 59: Loss=104.9390, Perplexity=2.10, Codebook Usage=0.00%
Batch 60: Loss=87.0821, Perplexity=1.53, Codebook Usage=0.00%
Batch 61: Loss=85.4677, Perplexity=1.60, Codebook Usage=0.00%
Batch 62: Loss=84.1132, Perplexity=1.64, Codebook Usage=0.00%
Batch 63: Loss=105.9531, Perplexity=1.80, Codebook Usage=0.00%
Batch 64: Loss=109.7926, Perplexity=2.04, Codebook Usage=0.00%
Batch 65: Loss=77.7244, Perplexity=1.73, Codebook Usage=0.00%
Batch 66: Loss=86.0293, Perplexity=1.81, Codebook Usage=0.00%
Batch 67: Loss=106.8712, Perplexity=1.72, Codebook Usage=0.00%
Batch 68: Loss=105.8166, Perplexity=2.18, Codebook Usage=0.00%
Batch 69: Loss=113.3437, Perplexity=2.13, Codebook Usage=0.00%
Batch 70: Loss=104.8182, Perplexity=2.00, Codebook Usage=0.00%
Batch 71: Loss=102.3541, Perplexity=2.00, Codebook Usage=0.00%
Batch 72: Loss=135.1000, Perplexity=2.25, Codebook Usage=0.00%
Batch 73: Loss=118.9271, Perplexity=2.12, Codebook Usage=0.00%
Batch 74: Loss=103.9092, Perplexity=1.95, Codebook Usage=0.00%
Batch 75: Loss=106.3244, Perplexity=2.01, Codebook Usage=0.00%
Batch 76: Loss=78.1249, Perplexity=1.67, Codebook Usage=0.00%
Batch 77: Loss=94.7586, Perplexity=2.02, Codebook Usage=0.00%
Batch 78: Loss=101.4184, Perplexity=1.69, Codebook Usage=0.00%
Batch 79: Loss=103.2252, Perplexity=1.99, Codebook Usage=0.00%
Batch 80: Loss=86.1741, Perplexity=1.69, Codebook Usage=0.00%
Batch 81: Loss=99.5484, Perplexity=2.04, Codebook Usage=0.00%
Batch 82: Loss=101.5805, Perplexity=2.26, Codebook Usage=0.00%
Batch 83: Loss=72.8696, Perplexity=1.27, Codebook Usage=0.00%
Batch 84: Loss=97.4939, Perplexity=1.75, Codebook Usage=0.00%
Batch 85: Loss=72.2141, Perplexity=1.99, Codebook Usage=0.00%
Batch 86: Loss=111.8084, Perplexity=2.09, Codebook Usage=0.00%
Batch 87: Loss=99.5074, Perplexity=1.94, Codebook Usage=0.00%
Batch 88: Loss=78.8342, Perplexity=1.47, Codebook Usage=0.00%
Batch 89: Loss=109.8244, Perplexity=2.33, Codebook Usage=0.00%
Batch 90: Loss=84.5393, Perplexity=1.75, Codebook Usage=0.00%
Batch 91: Loss=61.8542, Perplexity=1.24, Codebook Usage=0.00%
Batch 92: Loss=93.8228, Perplexity=1.79, Codebook Usage=0.00%
Batch 93: Loss=97.6164, Perplexity=1.84, Codebook Usage=0.00%
Batch 94: Loss=116.1165, Perplexity=2.12, Codebook Usage=0.00%
Batch 95: Loss=96.0855, Perplexity=1.95, Codebook Usage=0.00%
Batch 96: Loss=95.8726, Perplexity=2.16, Codebook Usage=0.00%
Batch 97: Loss=86.9721, Perplexity=1.72, Codebook Usage=0.00%
Batch 98: Loss=121.0123, Perplexity=2.24, Codebook Usage=0.00%
Batch 99: Loss=82.7306, Perplexity=1.80, Codebook Usage=0.00%
Batch 100: Loss=122.0968, Perplexity=2.40, Codebook Usage=0.00%
Batch 101: Loss=100.6721, Perplexity=1.81, Codebook Usage=0.00%
Batch 102: Loss=117.9024, Perplexity=2.34, Codebook Usage=0.00%
Batch 103: Loss=86.2122, Perplexity=1.57, Codebook Usage=0.00%
Batch 104: Loss=129.4232, Perplexity=2.32, Codebook Usage=0.00%
Batch 105: Loss=105.0457, Perplexity=1.72, Codebook Usage=0.00%
Batch 106: Loss=100.4303, Perplexity=1.80, Codebook Usage=0.00%
Batch 107: Loss=97.3391, Perplexity=1.77, Codebook Usage=0.00%
Batch 108: Loss=100.0984, Perplexity=1.68, Codebook Usage=0.00%
Batch 109: Loss=125.7453, Perplexity=2.31, Codebook Usage=0.00%
Batch 110: Loss=115.3156, Perplexity=2.25, Codebook Usage=0.00%
Batch 111: Loss=102.0356, Perplexity=1.77, Codebook Usage=0.00%
Batch 112: Loss=107.4496, Perplexity=2.16, Codebook Usage=0.00%
Batch 113: Loss=106.5219, Perplexity=1.84, Codebook Usage=0.00%
Batch 114: Loss=83.7268, Perplexity=1.61, Codebook Usage=0.00%
Batch 115: Loss=74.8727, Perplexity=1.54, Codebook Usage=0.00%
Batch 116: Loss=126.3594, Perplexity=2.64, Codebook Usage=0.00%
Batch 117: Loss=90.1747, Perplexity=2.20, Codebook Usage=0.00%
Batch 118: Loss=98.0088, Perplexity=1.78, Codebook Usage=0.00%
Batch 119: Loss=86.7005, Perplexity=1.81, Codebook Usage=0.00%
Batch 120: Loss=105.0016, Perplexity=2.28, Codebook Usage=0.00%
Batch 121: Loss=99.9671, Perplexity=1.91, Codebook Usage=0.00%
Batch 122: Loss=92.1176, Perplexity=1.90, Codebook Usage=0.00%
Batch 123: Loss=89.9715, Perplexity=1.64, Codebook Usage=0.00%
Batch 124: Loss=78.7530, Perplexity=1.56, Codebook Usage=0.00%
Batch 125: Loss=69.9441, Perplexity=1.43, Codebook Usage=0.00%
Batch 126: Loss=125.7335, Perplexity=2.47, Codebook Usage=0.00%
Batch 127: Loss=117.9803, Perplexity=2.33, Codebook Usage=0.00%
Batch 128: Loss=91.4851, Perplexity=1.74, Codebook Usage=0.00%
Batch 129: Loss=106.6873, Perplexity=2.00, Codebook Usage=0.00%
Batch 130: Loss=88.0181, Perplexity=1.89, Codebook Usage=0.00%
Batch 131: Loss=115.6387, Perplexity=2.19, Codebook Usage=0.00%
Batch 132: Loss=91.5849, Perplexity=1.63, Codebook Usage=0.00%
Batch 133: Loss=145.1411, Perplexity=2.77, Codebook Usage=0.00%
Batch 134: Loss=89.8861, Perplexity=1.68, Codebook Usage=0.00%
Batch 135: Loss=90.7122, Perplexity=1.60, Codebook Usage=0.00%
Batch 136: Loss=116.4382, Perplexity=2.17, Codebook Usage=0.00%
Batch 137: Loss=85.4796, Perplexity=1.76, Codebook Usage=0.00%
Batch 138: Loss=115.4187, Perplexity=2.08, Codebook Usage=0.00%
Batch 139: Loss=103.3626, Perplexity=1.51, Codebook Usage=0.00%
Batch 140: Loss=68.5413, Perplexity=1.68, Codebook Usage=0.00%
Batch 141: Loss=91.2467, Perplexity=1.69, Codebook Usage=0.00%
