EVALUATION RESULTS
==================================================
Average Reconstruction Loss: 750.3608
Average VAE Loss: 55.6031
Average Total Loss: 805.9639
Average RMSD: 21.91 Å
Total Proteins Evaluated: 4679
==================================================

DETAILED RESULTS BY BATCH:
Batch 0: Loss=558.7004, RMSD=19.76Å, Proteins=4
Batch 1: Loss=1230.6543, RMSD=31.01Å, Proteins=4
Batch 2: Loss=415.7078, RMSD=16.77Å, Proteins=4
Batch 3: Loss=533.5692, RMSD=17.48Å, Proteins=4
Batch 4: Loss=1114.9545, RMSD=26.30Å, Proteins=4
Batch 5: Loss=914.4679, RMSD=22.10Å, Proteins=4
Batch 6: Loss=1113.3025, RMSD=24.87Å, Proteins=4
Batch 7: Loss=811.1979, RMSD=23.73Å, Proteins=4
Batch 8: Loss=1394.2493, RMSD=25.49Å, Proteins=4
Batch 9: Loss=916.9137, RMSD=26.63Å, Proteins=4
Batch 10: Loss=834.4533, RMSD=24.78Å, Proteins=4
Batch 11: Loss=647.5394, RMSD=19.25Å, Proteins=4
Batch 12: Loss=669.6351, RMSD=14.80Å, Proteins=4
Batch 13: Loss=674.6126, RMSD=22.05Å, Proteins=4
Batch 14: Loss=943.3757, RMSD=26.44Å, Proteins=4
Batch 15: Loss=702.3255, RMSD=19.74Å, Proteins=4
Batch 16: Loss=487.1616, RMSD=17.53Å, Proteins=4
Batch 17: Loss=391.1341, RMSD=15.27Å, Proteins=4
Batch 18: Loss=675.2676, RMSD=21.39Å, Proteins=4
Batch 19: Loss=814.5682, RMSD=22.18Å, Proteins=4
Batch 20: Loss=952.2643, RMSD=24.74Å, Proteins=4
Batch 21: Loss=933.7534, RMSD=24.75Å, Proteins=4
Batch 22: Loss=612.4037, RMSD=21.34Å, Proteins=4
Batch 23: Loss=851.5940, RMSD=18.31Å, Proteins=4
Batch 24: Loss=799.3212, RMSD=22.46Å, Proteins=4
Batch 25: Loss=765.9127, RMSD=26.41Å, Proteins=4
Batch 26: Loss=526.8311, RMSD=19.61Å, Proteins=4
Batch 27: Loss=864.8595, RMSD=21.65Å, Proteins=4
Batch 28: Loss=804.8250, RMSD=23.54Å, Proteins=4
Batch 29: Loss=746.2540, RMSD=22.94Å, Proteins=4
Batch 30: Loss=610.0527, RMSD=18.92Å, Proteins=4
Batch 31: Loss=1106.5588, RMSD=23.46Å, Proteins=4
Batch 32: Loss=942.4791, RMSD=25.92Å, Proteins=4
Batch 33: Loss=684.3749, RMSD=21.01Å, Proteins=4
Batch 34: Loss=735.6741, RMSD=23.59Å, Proteins=4
Batch 35: Loss=377.9640, RMSD=14.79Å, Proteins=4
Batch 36: Loss=824.1619, RMSD=24.12Å, Proteins=4
Batch 37: Loss=542.9648, RMSD=18.17Å, Proteins=4
Batch 38: Loss=829.8641, RMSD=21.02Å, Proteins=4
